"＊
さあ、”進化の時”かやってきましたよ！
　(f)",55,,,"[#4601]Now, [le]t us ev[ol]ve!
[#cf01ffbb010f]",
"＊
１．とこを、進化　させますか？
　HIJK
(1)LMNO
(2) ！”＃＄％
(3)＆’
(4)ｃABC
(5)DEFG
　XYZ［
(1)\］＾＿
(2)０１２３４５
(3)６７
(4)PQRS
(5)TUVW
(6)（）ｘ＋，ー
(7)．／
(6)８９：；＜＝
(7)＞？
(8)(e)進化　させない。",287,,,"[#4300]Wh[ic]h body part wou[ld] you
[#6300][li]ke to ev[ol]ve?
[#a400ffbb00ffdd2048494a4b]
[#a800ffbb01ffdd204c4d4e4f]
[#ac00ffbb02ffdd2020212223]
[#b000ffbb03ffdd2024252627]
[#b400ffbb04ffdd2040414243]
[#b800ffbb05ffdd2044454647]
[#c400ffbb00ffdd2058595a5b]
[#c800ffbb01ffdd205c5d5e5f]
[#cc00ffbb02ffdd2030313233]
[#d000ffbb03ffdd2034353637]
[#d400ffbb04ffdd2050515253]
[#d800ffbb05ffdd2054555657]
[#e400ffbb06ffdd2028292627]
[#e800ffbb07ffdd202c2d2e2f]
[#0401ffbb06ffdd2038393637]
[#0801ffbb07ffdd203c3d3e3f]
[#fa00ffbb08ffdd202a2b]
[#1a01ffbb08ffdd203a3b]",
"＊
これて、
＊
いいてすか？
(e)
　はい
／
(1)いいえ",73,0,,"[#5002]Are you sure?
[#92020e] [#ffbb00]Yes[#ffbbff]/[#ffbb01]No","0x11605 (when isolated)"
"ｏ　　　＊
進化ホイントか
足りません！",47,,,"[#5002]You don['t] have
[#7002]enough EP!",
"＊
＊　＊
ふしきな、時のなかれか
あなたを進化させます…。",69,,,"[#0901]Time f[lo]ws by
[#2901]strange[ly], and
[#4901]you ev[ol]ve…",
"＊
２．とう、進化　させますか？
(1)(2)(2)(2)(2)(2)(2)(2)(2)(2)(2)(2)(2)(2)(3)
(8)ｅｖｏ．ｐ：　　　　　　　(a)
(4)(5)(5)(5)(5)(5)(5)(5)(5)(5)(5)(5)(5)(5)(6)",139,,,"[#4301]How wou[ld] you
[#6301][li]ke to ev[ol]ve [it]?
[#ef000102020202020202020202020203]
[#0f0108]EP:         [#0a]
[#2f010405050505050505050505050506]",
"かんきょうへんか　による
＊
進化かおこります。
　(f)",63,,,"[#0701]An unfam[ili]ar
[#2701]env[ir]onment causes
[#4701]causes you to ev[ol]ve.
[#af01ffbb000f]",
"＊
クリスタルのカかきれました。
＊　　　　＊
まえのすかたに、もとります。
　(f)",93,,,"[#0601]The Cryst[al]['s] power [is]
[#2601]dep[le]ted. You return
[#4601]to your norm[al] form.
[#af01ffbb000f]",
"クリスタルのカによって、
＊　　　＊　　＊
ふしきな進化か、はしまります。
　(f)",89,,,"[#0701]The Cryst[al]['s] power
[#2701]causes a strange
[#4701]ev[ol]u[ti]on.
[#af01ffbb000f]","0x1161f"
"あなたの　ゆうき　に　しゅくふく　あれ！
”鳥類”　に　進化　します！
　(f)",83,,,"[#e900]Be b[le]ssed for
[#0901]your courage!
[#4901]You ev[ol]ve
[#6901][in]to a “b[ir]d”!
[#af01ffbb000f]",
