　　たびだちのうみ,19,(e5) (1)    Ocean of Origin    ,27,"   Sea of
new journeys"
　,3,  ,3,
　,3,  ,3,
　　テローダスのうみ,21,(e5) (1)    Ocean of Terodus   ,27,"Sea of
The[lo]dus"
　,3,  ,3,
　　ケファラスピスのなわばり,29,(e5) (1)   Domain of Cepalas   ,27,"Cepha[la]p[si]s
terr[it]ory"
　,3,  ,3,
　　クラドセラケのなわばり,27,(e5) (2) Domain of Kuraseleache,27,"C[la]dose[la]che
 terr[it]ory"
　,3,  ,3,
　　シーラカンスのうみ,23,(e5) (4)   Ocean of Coelafish  ,27,"  Sea of
Coe[la]canths"
　　パンゲアのかいがん,23,(e5) (8)     Coast of Pange    ,27,"Coast of
Pangaea"
　　みちびきのどうくつ,23,(e5) (1)    Cave of Guidance   ,27,"Cave of
gu[id]ance"
　　ゆうわくのどうくつ,23,(e5) (1)   Cave of Temptation  ,27," Cave of
tempta[ti]on"
　　サンヨウチュウとオウムガイのどうくつ,41,(e5) (1)     Cave of Origin    ,27,"Cave of tr[il]ob[it]es
  and nau[ti][lu]ses"
　　ジニクチスのどうくつ,25,(e5) (1)   Cave of Zinichtys   ,27,"Cave of
Di[ni]ch[thy]s"
　　　　しょう　　　／　　エリアつうかしました,47,    Chapter  You pass   /   Area,33,"
Ch.    /   areas c[le]ar"
　　パンゲアのかいがん,23,(e5) (8)     Coast of Pange    ,27,"Coast of
Pangaea"
　　パンゲアのうみ,19,(e5) (1)     Ocean of Pange    ,27,"Sea of
Pangaea"
　　よわきなイクチオステガのとち,33,(e5) (1) Land of timid Ikustega,27,"Land of f[li]ghty
 Ich[thy]ostega"
　　つよきなイクチオステガのとち,33,(e5) (1) Land of bull Ikustega ,27,"Land of f[ei]sty
 Ich[thy]ostega"
　　両せい類のまもりのとち,27,(e5) (1)   Land of Amphibians  ,27,"Amp[hi]b[ia]n
refuge"
　　イクチオステガちょうろうのとち,35,(e5) (1) Land of Boss Ikustega ,27,"Ich[thy]ostega
E[ld]er['s] home"
　　なにもいないとち,21,(e5) (1)       Empty Land      ,27,"M[id]d[le] of
nowhere"
　　プロトファスマのなわばり,29,(e5) (1)   Domain of Profasu   ,27,"Protophasma
 terr[it]ory"
　　きょだいハチのなわばり,27,(e5) (1)  Domain of Giant Bee  ,27,"G[ia]nt bee
terr[it]ory"
　　コン虫のまもりのとち,25,(e5) (1)     Land of Insect    ,27,"Insect[s']
conquest"
　,3,  ,3,
　　せんたくのさばく,21,(e5) (1)    Desert of Choice   ,27,"Desert of
 cho[ic]es"
　　エダホサウルスのさばく,27,(e5) (1)  Desert of Edosaurus  ,27," Desert of
Edaphosaurs"
　　モスコプスのさばく,23,(e5) (1)   Desert of Mosuchop  ,27,"Desert of
Moschops"
　　すなくい虫のさばく,23,(e5) (1)  Desert of Sand Eater ,27,"    Desert of
sand-ea[ti]ng worms"
　　時のとびらのさばく,23,(e5) (1)   Desert Time Trans   ,27," Desert
Time Gate"
　　ハチキングのどうくつ,25,(e5) (1)    Cave of King Bee   ,27,"Bee K[in]g['s]
  cave"
　　きょうりゅうたいりくのいりぐち,35,(e5) (1) Door to Dina Continent,27,"  Arr[iv][al] on [the]
d[in]osaur con[ti]nent"
　　げんしガエルのぬま,23,(e5) (1)  Marsh of Prime Frog  ,27," Swamp of
proto-frogs"
　　両せい類のぬま,19,(e5) (1)  Marsh of Amphibians  ,27,"Swamp of
amp[hi]b[ia]ns"
　　テコドントのなわばり,25,(e5) (1)  Domain of Tecodonto  ,27,"Thecodont
terr[it]ory"
　　トロエドンのなわばり,25,(e5) (1)  Domain of Polsaurus  ,27,"Troodon
terr[it]ory"
　　スティラコサウルスのなわばり,33,(e5) (1) Domain of Syrocosaurus,27,"Styracosaur
 terr[it]ory"
　　ブロントザウルスのなわばり,31,(e5) (1) Doamin of Brosasaurus ,27,"Brontosaur
 terr[it]ory"
　　パラサウロロフスのなわばり,31,(e5) (1)   Domain of Prasauro  ,27,"Parasauro[lo]phus
   terr[it]ory"
　　ステゴザウルスのなわばり,29,(e5) (1)  Domain of Segosaurus ,27,"Stegosaur
terr[it]ory"
　　げんしガエルのなわばり,27,(e5) (1)  Domain of Prime Frog ,27,"Proto-frog
 terr[it]ory"
　　トリケラトプスのなわばり,29,(e5) (1)   Domain of Tritops   ,27,"Tr[ic]eratops
 terr[it]ory"
　　かくれほにゅう類のやま,27,(e5) (1)   Mt. Hidden Mammals  ,27," Mounta[in] of
h[id]den mamm[al]s"
　　プレシオサウルスのうみ,27,(e5) (1)  Ocean of Plesusaurus ,27," Sea of
P[le][si]osaurs"
　,3,  ,3,
　,3,  ,3,
　　ゆうきのやま,17,(e5) (1)       Mt. Brave       ,27," Mounta[in]
of Courage"
　,3,  ,3,
　　アンキロサウルスのなわばり,31,(e5) (1) Domain of Pronesaurus ,27,"Anky[lo]saur
terr[it]ory"
　　アロサウルスのなわばり,27,(e5) (1)  Domain of Omosaurus  ,27,"A[ll]osaur
terr[it]ory"
　　ティラノサウルスのなわばり,31,(e5) (1)  Domain of Tyrosaurus ,27,"Tyrannosaur
 terr[it]ory"
　,3,  ,3,
　　アステロイドのかわ,23,(e5) (1)   River of Asteroid   ,27,"R[iv]er of
Aster[oi]ds"
　,3,  ,3,
　,3,  ,3,
　,3,  ,3,
　　こおりのかいがん,21,(e5) (1)       Iced Coast      ,27,"Frozen
coast"
　,3,  ,3,
　,3,  ,3,
　　ゆきやま　いりぐち,23,(e5) (1)    Door to Mt. Snow   ,27,"Approach to [the]
snowy mounta[in]"
　,3,  ,3,
　,3,  ,3,
　,3,  ,3,
　　パラミスのなわばり,23,(e5) (1)     Domain Paramis    ,27,"Paramys
terr[it]ory"
　　しそちょうのなわばり,25,(e5) (1)  Domain of Prime Bird ,27,"Archaeopteryx
  terr[it]ory"
　　ゆきやま　でぐち,21,(e5) (1)    Exit of Mt. Snow   ,27,"Descent from [the]
 snowy mounta[in]"
　　マンモスのなわばり,23,(e5) (1)   Domain of Mammoth   ,27,"Mammoth
terr[it]ory"
　　ほっきょく,15,(e5) (1)     The North Pole    ,27,"The far
 north"
　　いきのこりもののとち,25,(e5) (1)    Land of Survival   ,27,"Land of
remnants"
　　いきのこりもののとち,25,(e5) (1)    Land of Survival   ,27,"Land of
remnants"
　　バルキテリウムのなわばり,29,(e5) (1)   Domain of Balrium   ,27,"Paracera[the]r[iu]m
  terr[it]ory"
　　ハイエノドンのなわばり,27,(e5) (1)   Domain of Hynodon   ,27,"Hyaenodon
terr[it]ory"
　　イエティぞくのなわばり,27,(e5) (1)     Domain of Yeti    ,27,"  Ye[ti]
terr[it]ory"
　　？,7,(e5) (1)           ?           ,27,"?

"
　,3,  ,3,
　　バードマンのとりで,23,(e5) (1)      Fort Bird-man     ,28,"B[ir]dman['s]
fortress"
　,3,  ,3,
　　しんぱんのどうくつ,23,(e5) (1)   Cave of Judgement   ,27,"Cave of
judgment"
　　デルタデリジウムのどうくつ,31,(e5) (1)   Cave of Deltadium   ,27,"  Cave of
D[el]ta[the]r[id]ium"
　　さいごのたびだちのとき,27,(e5) (1)  Final Step to Evolve ,27,"Enter[in]g [the]
 [fi]n[al] era"
　　オオツノジカのなわばり,27,(e5) (1)  Domain of Sincerous  ,27,"G[ia]nt [el]k
terr[it]ory"
　　にくしょく魚のなわばり,27,(e5) (1) Domain of Fish of Prey,27," F[le]sh-ea[ti]ng
f[is]h terr[it]ory"
　　ラッコのなわばり,21,(e5) (1)  Domain of Sea Otter  ,27,"Sea o[tt]er
terr[it]ory"
　　ワニのなわばり,19,(e5) (1)  Domain of Alligator  ,27,"Crocod[il]e
terr[it]ory"
　　グリズリーのなわばり,25,(e5) (1)   Domain of Grizzly   ,27,"G[ri]zz[ly] bear
 terr[it]ory"
　　かくれステゴのもり,23,(e5) (1)  Forest of Segosaurus ,27,"  H[id]den
Stego g[la]de"
　　エオヒッパスのなわばり,27,(e5) (1)      Domain Eohip     ,27,"Eo[hi]ppus
terr[it]ory"
　　サーベルタイガーのなわばり,31,(e5) (1) Domain of Saber Tiger ,27,"Saber-too[the]d
cat terr[it]ory"
　,3,  ,3,
　　ディアトリマのなわばり,27,(e5) (1)   Domain of Ditryma   ,27,"D[ia]tryma
terr[it]ory"
　　いきのこりハチクイーンのなわばり,37,(e5) (1)  Domain of Queen Bee ,26,"  Rev[iv]ed Bee
Queen['s] terr[it]ory"
　　いきのこりティラノのなわばり,33,(e5) (1)  Domain of Tyrasaurus,26,"Rev[iv]ed Tyrannnosaur
     terr[it]ory"
　,3,  ,3,
　　コンドルのなわばり,23,(e5) (1)    Domain of Condor   ,27," Condor
terr[it]ory"
　,3,  ,3,
　,3,  ,3,
　　さいごのうみ,17,(e5) (1)      Final Ocean      ,27,"Return to
 [the] sea"
　,3,  ,3,
　,3,  ,3,
　,3,  ,3,
　　えん人のほらあな,21,(e5) (1)  Cave of Monkey Human ,27,"Sim[ia]n
 den"
　,3,  ,3,
　,3,  ,3,
　　エデンのいりぐち,21,(e5) (1)   Entrance of Eden   ,26,"Thresh[ol]d
 of Eden"
　,3,  ,3,
　,3,  ,3,
