"ストーンサークルのカは、
イエティさまの　クリスタルで　ふういん
されているらしい…。　ウッキー！",67,"It seemed the power of
the stone circle was 
sealed by the Yeti's
crystal.



Oogi...
",96,"The stone c[ir]c[le]['s] power
seems to be se[al]ed by
[the] Ye[ti]['s] Cryst[al]. >uk[ki]<



",,
"　　　おーい！　　みんなーー！
”あたらしい時代”が
　　　　　　　　　はじまるぞーーっ！",73,"Listen everybody!
We will begin a new 
age.",47,"    Hey! Everyone[!!]

The New Era
           [is] beg[in]n[in]g…[!!]


","Look! The New Dawn [is]
just over [the] horizon!




",Hey! Everyone! A “new age” is beginning!
"なんという　ことでしょう……。
かぞえきれない　アステロイドの　らっかに
よってまきあげられた、チリや　ホコリが、
そらに　あつい　カベをつくり、
たいようの　ひかりを　さえぎって
しまいました……。",173,"What has happened?
The dust caused from 
the asteroids created
a very dense cloud
blocking out all of
the sun light.",123,"Unbe[li]evab[le]…





Dust and d[ir]t, b[lo]wn
[in]to [the] sky by [the]
impact of count[le]ss
aster[oi]ds, formed a
[thi]ck barr[ie]r [tha]t
b[lo]cked out [the] sun.
",,"What a thing...

Dust and dirt blown out by the fall of countless asteroids formed a thick barrier in the sky and blocked out the sunlight."
"こうして　あなたは　ティラノの　こぶんに
なりました。

さて！　それからの　あなたのみらいを
ちょっと　のぞいてみることにしましょう。

あなたたちに　さからえる　いきものは
だれもいません。　あなたたちは　たべて、
たべて、たべまくりました。
なん年………　いや、なん(17)、なん万年
もの　じかんがながれていきました。
　　　　　　そして…………",245,"You have decided to
become a follower of
the Tyrasaurus.
We shall take a look
at your future.

No one will go against
you anymore.
You can continue to
eat them all.
Thousands of years 
have passed... 
and then...

",230,"And thus, you became a
vass[al] of [the] Tyrannos.

Now, [le]t us g[la]nce ahead
at [the] future [tha]t
fo[ll]ows for you.
There [is] no one ab[le] to
stand up to you. You
eat, eat, eat
every[thi]ng [in] s[ig]ht!


Years[--]hundreds,
[tho]usands of years f[lo]w
by.


           And [the]n…
","And so, you jo[in]ed [the]
tyrannosaurs.




Okay… [le]t['s] take a qu[ic]k
peek [in]to [tha]t future![#10]




There [is] no one who
can oppose you and
your new fr[ie]nds. You
eat, eat, eat… eat
every[thi]ng [in] [si]ght!

Many years go by…
  Hundreds…
    Thousands…


Time keeps on f[lo]w[in]g.


    Then…



",
"さて！　それからの　あなたのみらいを
ちょっと　のぞいてみることにしましょう。

こうして、あなたは
バードマンの　おうさまと　いっしょに
ウチュウへと　でかけました…。
そして　いちばんちかい　ほし　”つき”に
わたり、バードマンぶんめいをきずくことに
なるのです。
でも、ときには　ちきゅうが
なつかしくなって
もどってきているのです。",251,"We shall look into
to your future.

That is the way you
have gone into the
universe with the
father of the 
Bird-man.
You reached the 
nearest planet, the
Moon, and you will
create the Bird-man
civilization.
But you will return
here sometimes.",259,"Now, [le]t us g[la]nce ahead
at [the] future [tha]t
fo[ll]ows for you.



Thus, you set forth
w[it]h [the] B[ir]dman K[in]g
toward “outer space”…



You cross to [the]
nearest wor[ld], [the] Moon,
and [the]re you bu[il]d an
Av[ia]n c[iv][ili]za[ti]on.


But at [ti]mes, you come
to m[is]s [the] Earth, and
return.



","Okay… [le]t['s] take a qu[ic]k
peek [in]to [tha]t future![#10]




And so, you set forth
toward “outer space[,”]
[in] serv[ic]e to [the] Avian
K[in]g.


You f[ly] [hi]gher and
[hi]gher, unt[il] you reach
the Moon… and [the]re,
you create an Avian
c[iv][ili]za[ti]on.

But at [ti]mes, you grow
nost[al]g[ic] for your home,
and return.



",
"さて！　それからの　あなたのみらいを
ちょっと　のぞいてみることにしましょう。

クジラ、もしくは
大がた　かいせいせいぶつ　と　たたかう
ラーゴンぞくは、
うみの　なかでは　ムテキ　でした。
さからえるものは　だれも　いません。

ラーゴン
「ガハハハッ！　くえ！　くえ！
　くいつくせっ！
　カこそ　せいぎだ。
　つよいものだけが　この　うみを
　しはい　するのだ！！」
…………こうして、
すべての　うみが　ラーゴンぞくの
しはい　するところと　なりました。
きょうぼうな　サメも、
カ　と　チエを　かねそなえたクジラぞくも
すべてが　ラーゴンぞくに
せいふくされたのです。………そして、
ながい　ねんげつが………　いく(17)、
いく万年もの時かんが　ながれました。",517,"We shall look into 
your future.

The Whales and Rogons
were invincible in the
sea.
There was no one to 
go against them.

Rogon:
""Eat! Eat! Eat them
all! We have the 
strongest power. The
strongest one will
control this planet.""
Rogons conquered all
the sea. Even the
strongest sharks and
whales with great
intelligence obeyed
him.
Thousands of years
have passed...
",392,"Now, [le]t us g[la]nce ahead
at [the] future [tha]t
fo[ll]ows for you.



N[ei][the]r [the] wha[le]s nor any
o[the]r [la]rge sea [li]fe can
match [the] Lagons. They
are unr[iv][al]ed [in] [the]
ocean.

Lagon:
“Gahahaaa!
 M[in]e! M[in]e! A[ll] m[in]e[!!]
 M[ig]ht [is] r[ig]ht!
 The [str]ong w[ill] r[ul]e [the]
 sea[!”]
And so [the] who[le] of [the]
sea fa[ll]s under Lagon
ru[le]. The savage
sharks, [the] great and
w[is]e wh[al]es… a[ll] are
subdued by [the] Lagons.
And [lo]ng years pass…

Hundreds, [tho]usands of
years f[lo]w by…


","Okay… [le]t['s] take a qu[ic]k
peek [in]to [tha]t future![#10]




The [in]v[in][ci]b[le] Lagons
con[ti]nue to make war on
[the] wha[le]s and a[ll] o[the]r
ocean [li]fe.
No one can oppose you.

Lagon Gener[al]:
“Gahahahah[!!]
 Take [it] a[ll]! Eat [it] a[ll]!
 M[ig]ht [is] r[ig]ht!
 The [str]ong w[ill] ru[le] [the]
 sea[!”]
And so [the] Lagons
conquer [the] sea.
The savage sharks, [the]
great and w[is]e wha[le]s…
a[ll] are comp[le]t[el]y swept
away.
Many years go by…
  Hundreds…
    Thousands…


Time keeps on f[lo]w[in]g.


    Then…



",
"こうして　あなたは、
かれらの　こきょうに　むかいました……。

その　ながい　たびじの　とちゅう、
あなたは　かれらから
いろいろな　はなしを　ききました…。",97,"And then you went to
their home.

During a long journey
you heard about 
stories from them.",98,"And so, you set off
for [the]ir homewor[ld].
Dur[in]g [the] journey, [the]y
te[ll] you many stor[ie]s.


","And so you depart
w[it]h [the] v[is][it]ors toward
[the]ir d[is]tant home.

Dur[in]g [the] [lo]ng journey,
[the]y exp[la][in] every[thi]ng…",
"
　　　　ｅNIX　ｐRｅSｅNTS

　　いまから、およそ
　　　　　　４６億年まえ…………。

”いだいなる　たいよう”は、
９人の”こども　ぼし”を　もうけ
その　３ばんめの”むすめ　ぼし”を

　　　”ガイア”と　名づけた……。
",170,"It is more than 4.6
billion years ago.

The great sun had nine
small planets.

He named the third
planet ""Gaia"".
",123,,,
"
　　　　ｅNIX　ｐRｅSｅNTS

　　いまから、およそ
　　　　　　４６億年まえ…………。

”いだいなる　たいよう”は、
９人の”こども　ぼし”を　もうけ
その　３ばんめの”むすめ　ぼし”を

　　　”ガイア”と　名づけた……。
",170,"It is more than 4.6
billion years ago.

The great sun had nine
small planets.

He named the third
planet ""Gaia"".
",123,,,
"
　　　　　　　　あき
",16,"You barely escaped!
However, at that time
the world of Dinosaurs
was.....

",82,,,
"かん　いっぱつ！！
あなたは　だっしゅつに　せいこうした！

……しかし、　そのころ
　　きょうりゅうたちの　せかいでは………
",99,"You barely escaped!
However, at that time
the world of Dinosaurs
was.....

",82,"That was c[lo]se[!!]
You bare[ly] managed to
escape!



…But, [in] [the] wor[ld] of
d[in]osaurs…




","You bar[el]y made [it] out!

But [the] wor[ld] of
d[in]osaurs we [le]ft
beh[in]d…

","By a hair's breadth! You succeeded in escaping!

But, meanwhile, the world of the dinosaurs..."
