"ツルツルの胴………………　　２０ｐ
ウロコの胴…………………　３００ｐ
こうらの胴…………………　６００ｐ
からだを、大きく…………　４００ｐ
からだを、小さく…………　２００ｐ",101,"Slick Body................200P
Scaly Body................300P
Shell Body................600P
Increase Body Size........400P
Decrease Body Size........200P",160,"Smooth sk[in]%%% 20P

Sca[ly] sk[in]%%%%%300P

Hard%%%%%%%%%600P
  carapace
Larger body%%400P

Sma[ll]er body%%200P",98
"さいしょのアゴ……………　　１０ｐ
クラドセラケのアゴ………　２００ｐ
ジニクチスのアゴ…………　８００ｐ",81,"Original Jaws..............10P
Kuraselache's Jaws........200P
Zinichthy's Jaws..........800P",96,"Simp[le] jaw%%%% 10P

C[la]dose[la]che%%%200P
  jaw
Di[ni]ch[thy]s jaw%800P",78
"さいしょのツノ……………　２００ｐ
ねじりツノ…………………　３００ｐ
ちょうちんアンコウのツノ　５００ｐ
カジキのツノ………………　７００ｐ
なくす………………………　１００ｐ",99,"Original Horn.............200P
Spiraled Horn.............300P
Angler's Horn.............500P
Swordfish Horn............700P
Remove....................100P",160,"Simp[le] horn%%%200P

S[pi]r[al] horn%%%%300P

Ang[le]r['s]%%%%%%%500P
  [la]ntern
Swordf[is]h%%%%%700P
  horn
No horn%%%%%%100P",112
"げんしてきなヒレ…………　　５０ｐ
シーラカンスのヒレ………　２００ｐ
体あたりのヒレ……………　５００ｐ",58,"Original Fin...............50P
Coelafish Fin.............200P
Tackle Fin................500P",96,"Simp[le] f[in]s%%%% 50P

Coe[la]canth%%%%200P
  f[in]s
Ramm[in]g f[in]s%%%500P",66
"さいしょの背ビレ…………　　５０ｐ
ほかけの背ビレ……………　２００ｐ
クラドセラケの背ビレ……　５００ｐ
なくす………………………　　１０ｐ",98,"Original Dorsal Fin........50P
Sailing Dorsal Fin........200P
Kuraselache's Dorsal Fin..500P
Remove.....................10P",128,"Simp[le] dors[al]%% 50P
  f[in]
Sa[il]f[is]h%%%%%%%200P
  dors[al] f[in]
C[la]dose[la]che%%%500P
  dors[al] f[in]
No dors[al] f[in]%% 10P",96
"さいしょの　尾……………　　５０ｐ
シーラカンスの　尾………　１００ｐ
テラスティスの　尾………　３００ｐ
ジニクチスの　尾…………　５００ｐ
クラドセラケの　尾………　７００ｐ",99,"Original Tail..............50P
Coelafish Tail............100P
Teratisu's Tail...........300P
Zinichthys Tail...........500P
Kuraselache's Tail........700P",160,"Simp[le] ta[il]%%%% 50P

Coe[la]canth%%%%100P
  ta[il]
Pteraps[is]%%%%%300P
  ta[il]
Di[ni]ch[thy]s ta[il]%500P

C[la]dose[la]che%%%700P
  ta[il]",135
"イクチオステガの胴………　　２０ｐ
マダラの胴…………………　５００ｐ
ウロコの胴…………………２０００ｐ
ヨロイの胴…………………５０００ｐ
からだを、大きく…………１０００ｐ
からだを、小さく…………１０００ｐ",129,"Ikustega's Body............20P
Mottle Body...............500P
Scaly Body...............2000P
Armor Body...............5000P
Increase Body Size.......1000P
Decrease Body Size.......1000P",192,"Ich[thy]ostega%  20P
  sk[in]
Mo[tt][le]d sk[in]%%% 500P

Sca[le]d sk[in]%%%2000P

Armored sk[in]%5000P

Larger body%1000P

Sma[ll]er body%1000P",147
"カエルのアゴ………………　　５０ｐ
イクチオステガのアゴ……　２００ｐ
キバのはえたアゴ…………　５００ｐ
どうもうなアゴ……………１５００ｐ",107,"Frog Jaws..................50P
Ikustega's Jaws...........200P
Tusking Jaws..............500P
Fierce Jaws..............1500P",128,"Frog jaw%%%%  50P

Ich[thy]ostega% 200P
  jaw
Fanged jaw%% 500P

F[ie]rce jaw%%%1500P",87
"さいしょのツノ……………　２００ｐ
しょっかくツノ……………　５００ｐ
ふといツノ…………………１５００ｐ
２ほんヅノ…………………５０００ｐ
なくす………………………　１００ｐ",99,"Original Horn.............200P
Feeler Horn...............500P
Big Horn.................1500P
Dual Horn................5000P
Remove....................100P",160,"Simp[le] horn%% 200P

Antenna%%%%% 500P

T[hi]ck horn%%%1500P

Doub[le] horn%%5000P

No horn%%%%% 100P",94
"ウーパー……………………　３００ｐ
カールー……………………　３００ｐ
ジプロー……………………　３００ｐ
モリマー……………………　３００ｐ
なくす………………………　１００ｐ",100,"Wooper....................300P
Kerll.....................300P
Jeprol....................300P
Morimar...................300P
Remove....................100P",160,"Wooper%%%%%% 300P

Co[el]u%%%%%%%% 300P

Dip[lo]%%%%%%%% 300P

Brawny%%%%%% 300P

No[thi]ng%%%%%% 100P",121
