(e)りゅうせんけいに,19,,,
　　　＊,9,,,
(e)からたを、大きく,19,,,
(e)からたを、小さく,19,,,
(e)ひふを、かたく,17,,,
(e)ひふを、やわらかく,21,,,
　　　　　　　＊,17,,,
(e)うたれよわいか、カはつよく,29,,,
　　　　　　＊　　　　＊,25,,,
(e)カはよわいか、うたれつよく,29,,,
(e)つよくて、おもく,19,,,
(e)かるくて、よわく,19,,,
(e)なくす,9,,,
(e)はやく、およく,17,,,
　　　　　　　　　＊,21,,,
(e)ゆっくりと、およく,21,,,
(e)体あたりをつよくする,23,,,
(e)すっきりする,15,,,
(e)つける,9,,,
(e)２足化に,11,,,
(e)４足化に,11,,,
(e)とりかたに,13,,,
　　　　＊,11,,,
(e)りゅうかたに,15,,,
　　＊,7,,,
(e)のはす,9,,,
(e)ちちめる,11,,,
(e)しなやかに,13,,,
(e)みかるに,11,,,
(e)はやく、はしれる,19,,,
(e)まもりをかためる,19,,,
(e)　？,7,,,
(e)にくしょくタイフに,21,,,
(e)そうしょくタイフに,21,,,
(e)さらに進化,13,,,
(e)とにかく進化させてみる,25,,,
(e)まもりをかためる,19,,,
(e)かるくする,13,,,
　＊　　ｏ　　　＊,19,,,
(e)シャンフカをあける,21,,,
(e)ゆっくり、あるけるようにする,31,,,
(e)はやく、あるけるようにする,29,,,
　　　　　　　　ｏ,19,,,
(e)まもりをかため、あるきやすくする,35,,,
　　　　　　　　　　ｏ,23,,,
(e)いつか、はねのしっほになりたい…,35,,,
(e)ゆっくり、とへるように,25,,,
(e)いつか、うもう　につつまれたい…,35,,,
魚類,5,,,F[is]h
両せい類,9,,,Amp[hi]b[ia]n
４足ハ虫類,11,,,4-[le]g rep[ti][le]
２足ハ虫類,11,,,2-[le]g rep[ti][le]
鳥類,5,,,B[ir]d
４足ほにゅう類,15,,,4-[le]g mamm[al]
２足ほにゅう類,15,,,2-[le]g mamm[al]
