"ざんねん！……
あなたは、”ぜつめつ”してしまいました。

…………………。
わたしのちち”たいよう”には
　　　　　　　　ナイショですが……
よみがえらせてあげましょう！
でも、ｅｖｏ．ｐは　すこし
へってしまいます……。",155,"


I will revive you.
Please keep this a 
secret from my father,
the Sun.
Your EVO.P has been
reduced slightly.",148,"How ter[ri]b[le]! You['v]e
become ex[ti]nct!




…

My fa[the]r [the] Sun
abso[lu]te[ly] must not
[le]arn of [thi]s…

But, I w[ill] send you
back!


However, your EP
w[ill] be reduced a [li][tt][le]…
",169,"Oh no! You['v]e gone
ex[ti]nct!

>s[ig]h< …


We[ll]… I guess, as [lo]ng
as my fa[the]r never ever
[fi]nds out…



I['ll] just rev[iv]e you![#10]





But… I['ll] have to reduce
your EP a [li][tt][le]. Sorry!




",
"
おどろかせて、ごめんなさい…。

わたしの名は　”ガイア”
すべての”いのち”を　みまもり、あなたと
ともに、いきてゆくもの……。
これから、あなたは　時をちょうえつした
５億年ものながい”進化のたび”を
たいけんすることになるでしょう。
それは、よわねをはいたら　いきていけない
つよいもののみが　いきのこれる
”じゃくにく　きょうしょく”のせかい…。
けっして、”ぜつめつ”しないように、
いきぬいていってください。
なぜなら……
”進化のたび”の　ゴールである
”エデンのち”で、かならず　あなたに
あいたいからです……。

　　　　　　　がんばって！
",420,"I am sorry. I did
not mean to surprise
you.
My name is Gaia.
I am the one who
watches over all
life, including you.


You will journey
through many periods
of time on this
planet. A journey of 
change.

This is a world where
only the strong may 
survive. The laws are
governed by those of
the jungle.

Please try to survive!
I would like to see
you in a place called 

""Eden"".


This is your goal.


Please, do your best!
",456,,1,,
"
…………………………！？

からだのなかから、なにかが
かたりかけてくる！！

「進化は　じゅんちょうかい？
　しんぱいしないで！　ぼくは　きみの
　進化の　てだすけをするものだよ。
　”クリスタル”とでも　よんでおくれ。
　きみに進化のアドバイスをしてあげよう。

　アゴの進化は、かみつくカ
　どうたいの進化は、ぼうぎょカ
　ツノの進化は、ツノのこうげきカ
　て、あし、せびれ、おっぽの進化は、
　体カ、体あたりのカ、いどうスピードに
　えいきょうするんだ。
　でも、進化したために、
　べつの　のうりょくが　おとろえてしまう
　ことがあるので、ちゅういしてね！」",477,"


How are you
progressing?
Don't worry I will
help you evolve.
You may call me 
crystal.
I will give you advice
on how to evolve.

Evolving your jaws 
will increase your
biting strength.
Evolving your body
will increase your
defensive power.
Evolving your horns
will increase your
attack power.
Evolving your hands,
feet and dorsal fin
as well as your tail,
will increase your
Hit Point level,
agility and strength.
Be careful, evolving
one part of your body
may decrease another
part.

",552,"…[?!]

Some[thi]ng starts t[al]k[in]g
[in][si]de your body[!!]


“Ev[ol]u[ti]on go[in]g okay?
 Don['t] worry! I'm here
 to h[el]p you out!
 You can ca[ll] me
‘Cryst[al][.’] I['ll] g[iv]e you
 some ev[ol]u[ti]on ad[vi]ce!
 Ev[ol]v[in]g your jaw ra[is]es
 your b[it]e power.
 Ev[ol]v[in]g your body
 ra[is]es your defense.
 Ev[ol]v[in]g a horn ra[is]es
 your horn a[tt]ack.
 Ev[ol]v[in]g your hands,
 feet, [fi]n, and ta[il] w[ill]
 [in]f[lu]ence your HP, body
 s[la]m a[tt]ack, and
 movement speed.

 But some[ti]mes, ev[ol]v[in]g
 m[ig]ht weaken o[the]r
 ab[il][it][ie]s.

 So take care[!”]

",480,,
"あなたのことを　ウワサしているこえが
きこえてくる。　しかし、だれが
しゃべっているのかは　わからない……。
「おや？　このげんしてきな　せいぶつは
　ほかの　せいぶつとは　すこしようすが
　ちがっているようだな……。」
「もしかしたら、
　すばらしい　進化を　とげるかも
　しれないなあ……。」",253,"Voices are heard 
speaking but you
do not know from
where.


""Hmm, this small fish
looks different from
the others....""
""This creature may
evolve wonderfully.""
",173,,1,,
"「そこの、おさかなさん！　その、あかい
　クリスタルをたべてごらん。　ふしぎな
　進化をするよ…。」",72,"Hi there fish!"" 
""Try eating a red
crystal. You may 
evolve into a strange
creature.""
",94,"“Hey [the]re, f[is]h! Try
 ea[ti]ng [tha]t red Cryst[al],
 and see what you
 ev[ol]ve [in]to[!”]


",128,"“Excuse me, f[is]h? Cou[ld]
 you maybe try ea[ti]ng
 [tha]t red cryst[al] [the]re,
 p[le]ase?


 It sho[ul]d make ev[ol]v[in]g
 much eas[ie]r for you…”




",Formality and “fushigi” are difficult
"
”すいりゅうのカベ”が　できている。
",37,"There is a wall of 
bubbles.
",33,"A “wa[ll] of currents”
has formed.




",47,"Strong water currents
prevent you from
[le]av[in]g.



",A “wall of water currents” is built
"かざんばくはつのショックで
”すいりゅうのカベ”が　なくなった！
",61,"The wall of bubbles has
disappeared because
of the explosion from
the volcano.

",87,"The “wa[ll] of currents”
[is] gone a[ft]er [the] shock
of [the] v[ol]can[ic] erup[ti]on.



",57,"The water currents
d[is][si]pate after [the]
v[ol]can[ic] erup[ti]on.



",“shock”
"ナマコたちの　うわさばなしがきこえる。
「アンコウのつの　って　そのひかりで
　テキを　ひきつけるんだって！スゴイ！」
「それはそうと、３つめの　かざんのうみを
　こえると　もう　このうみに　もどれなく
　なるらしいよ。なんでも…
　あたらしいせかいに、さかなをみちびく
　ための、ガイアさまの
　けいかくらしいんだって！」
「ふーん……。あたらしいせかい　かあ。
　ぼくらは、このうみで　まんぞくさ！
　ナマ、ナマーーッ！！」",368,"Rumors circulate 
among the cucumbers.

""The Angler's horn
attracts enemies
because of it's great
light!""
""They say we can't 
return here if we
cross the third 
volcano in the sea.

It is Gaia's plan to
lead the fish to a 
new world.""

""Hmm... A new world.""
",277,"You hear [the] sea
cucumbers gos[si]p[in]g.




“So, [tha]t Ang[le]r['s] Horn?
 That a[tt]racts enem[ie]s
 w[it]h [it]s [li]ght?
 Amaaaz[in]g[!!]”


“But d[id] you know [tha]t
 you can['t] return to
 [the]se waters when you
 pass [the] [thi]rd v[ol]cano?


 I hear [it]['s] because of
 Ga[ia]['s] p[la]n to [le]ad [the]
 f[is]h to a new wor[ld][.”]



“Hmm… A new wor[ld], huh?
 For us, [the] sea [is]
 p[le]nty! >cuke< >cuke<”



",388,"The sea cucumbers are
gos[si]p[in]g exc[it]ed[ly].




“So I hear [tha]t [if] you
 have an ‘Ang[le]r['s]
 [la]ntern[,’] [the] [li]ght w[ill]
 [lu]re your prey r[ig]ht
 to you! That sounds
 a-maaa-z[in]g[!”]
“Did you know? If you
 cross [the] sea around
 [tha]t [thi]rd v[ol]cano, you
 won['t] be ab[le] to come
 back here, ever!

 I hear [it]['s] to do w[it]h
 Lady Ga[ia]['s] p[la]n to [le]ad
 [the] f[is]h to a ‘New
 Wor[ld][.’]”


“Bah! ‘New Wor[ld][?’] T[hi]s
 sea [is] qu[it]e enough for
 us! >cuke< >cuke<”



",“nama nama”
"かいそう　たちの
ヒソヒソばなしが、きこえる。

かいそうA
「ぼくらのなかまの、ストロマトライトくん
　たちが、”サンソ”というもので
　”あたらしいせかい”を　つくろうと
　しているんだけど…………
　クラドセラケという　らんぼうものたちが
　じゃまをして、
　こまっているそうだよ……。」
",228,"


Seaweed A:
""Friends, the
Strolites are trying
to create a new world 
using oxygen.

They are having 
trouble because the
Kuraselaches keep
interfering with
them.""
",216,"You can hear [the]
seaweed wh[is]per[in]g.




Seaweed A:
“Our Stromato[li]te a[ll][ie]s
 [in]tend to bu[il]d [the] New
 Wor[ld] w[it]h what [the]y
 ca[ll] ‘oxygen[.’]

 But [tho]se [thu]gs, [the]
 C[la]dose[la]ches, are
 hass[li]ng [the]m, and [the]y
 seem to be stym[ie]d[.”]


",226,,"“komaru” - troubled, worried, stumped"
"　　　　”進化のアドバイス”
ようこそ！　両せい類のせかいへ！
さて、さて、
おっぽの進化が、ジャンプカ、体カに
えいきょうするようになりましたよ！
",105,"EVO tip.""
Welcome to the world
of Amphibians!
If you evolve your
tail, you will
increase your jumping
ability and your HP.

",135,"   “Ev[ol]u[ti]on ad[vi]ce”

W[el]come to [the] wor[ld] of
amp[hi]b[ia]ns!

Now, [the]n…
Ev[ol]v[in]g your ta[il] w[ill] now
[in]f[lu]ence your jump[in]g
and HP!



",170,,"“as well as” not in the original
Not too sure about grammar"
"ストロマトライトたちの
ヒソヒソばなしが、きこえる。

ストロマトライトA
「ハァ…、もし、ぼくらが、かいてい
　なんかに　へばりついてないで
　じゆうに　うごけたなら、
　あんな、らんぼうな　クラドセラケたちに
　しはい　されずにすんだのに……。」
ストロマトライトB
「シッ！！　ほらあなの　ボスに
　きこえちゃうよっ！！」",259,"


Strolite A:
""If we could move 
along the bottom of
the sea without
sticking, we would
not have to be ruled
by the Kuraselache.""


Strolite B:
""Shhh! Speak quietly 
or the leader in the 
cave will hear you!""

",266,"You can hear [the]
Stromato[li]tes wh[is]per[in]g.




Stromato[li]te A:
“>s[ig]h< If on[ly] we cou[ld]
 move free[ly] [in]stead of
 be[in]g stuck to [the]
 seabed…

 We cou[ld] [li]ve w[it]hout
 be[in]g r[ul]ed by [tho]se
 C[la]dose[la]che [thu]gs…”



Stromato[li]te B:
“Shh! The boss w[ill]
 hear you from [hi]s
 den[!”]


",218,,"“If only we could move around freely, without clinging to things like the seabed, we would live without being ruled by those rough Cladoselaches.”
“Shh! The cave boss will hear you!”"
"
ん？　　なにものだ！？

ここが、
”うみのおうじゃ”　クラドセラケさまの
なわばりとしって、はいってきたのかっ！？
きさま、もしかしてあのストロマトやろうの
”あたらしいせかい”づくりを　てつだう
つもりじゃねーだろうなっ！
せかいは、この”うみ”だけで
じゅうぶんだっ！　やつらにカをかす
やろうは、このオレが　ゆるさねえっ！！",264,"Huh? Who are you?
Knowing this is the
domain of the 
Kuraselache, King of
the Sea, why are you
here?
Are you not trying
to help the Strolites
build a new world?



I will defeat anyone
who helps the 
Strolites!",251,"Huh? What['s] [thi]s?





I'm [the] boss of [the]
C[la]dose[la]ches, you know!
The K[in]g of [the] Sea! And
[thi]s [is] my turf! And you
st[ill] barge [in][?!]

You moron! You can['t] be
[thi]nk[in]g of h[el]p[in]g [tho]se
Stromato-nuts w[it]h [the]ir
“new wor[ld]” p[la]n!
Th[is] sea wor[ld] [is] a[ll] [the]
wor[ld] we need!
If you['r]e here to h[el]p
[tho]se numbsku[ll]s, I won['t]
[le]t you [le]ave here a[li]ve[!!]



",423,"Huh? Who['s] [tha]t?





I'm [the] top C[la]dos[el]ache!
The K[in]g of [the] Sea! And
I['v]e cl[ai]med [thi]s turf!

And you['r]e bu[tt][in]g [in] on
me[?!]
Oh, I get [it]… you must
be h[el]p[in]g [tho]se
Stromato-nuts w[it]h
[the]ir “New Wor[ld]” p[la]n.

What a numbsku[ll]!
T[hi]s sea[--]MY sea[--][is] [the]
on[ly] wor[ld] you['ll] ever
get!



And you won['t] get away
w[it]h do[in]g [the]ir dirty
work[--]not on [thi]s guy['s]
watch!


",“This me won't forgive any doofus who helps those doofuses”
"ぼくらは、ストロマトライト。
うみのそとは、ぼくらのつくった”サンソ”
にみたされ、
いま、”あたらしいせかい”として、
うまれかわりました。
いりぐちは、すぐそこですよ。",113,"We are the Strolites.
Outside the sea a 
world filled with
oxygen is being born.
The entrance is here.
",110,"We['r]e [the] Stromato[li]tes.
Out[si]de [the] sea, [the]
“oxygen” we['v]e made [is]
spread[in]g.


And now, [tha]t wor[ld][--][the]
New Wor[ld][--]has been
reborn. The entrance [is]
r[ig]ht above you!


",150,"Hey, [it]['s] us, [the]
Stromat[ol][it]es!

Beyond [the] sea, [the] [ai]r
[is] f[ill][in]g up w[it]h [the]
oxygen we made.
It['s] a “New Wor[ld][,”] w[it]h
new opportun[it][ie]s!

The entrance [is] r[ig]ht
up [the]re!

",
"さあ、おゆきなさい！
”あたらしいせかい”がまってますよ！
",45,"Okay, let's go.
A ""New World"" awaits
you.",45,"We[ll], go on! The New
Wor[ld] [is] wa[it][in]g!




",44,,
"ガイアです。
２億年もつづいた”魚の時代”は、おわり
これから、”サンソ”にみたされた
”りくの時代”がはじまろうとしています。
ストロマトライトのなかま、”しょくぶつ”
たちが、ひとあしさきに　じょうりくして
これから　やってくる　いきものたちが
すみやすくなるように、いっしょうけんめい
じゅんびをしています。
さて！
魚の時代を　みごといきぬいた　あなたには
すばらしい　プレゼントがありますよ！
それは”両せい類のからだ”です。
さんそを　こきゅうできる”はい”をもち
ちじょうを　じゆうにうごけるものです。
そのからだで、あたらしい　ぼうけんを
はじめなさい！
　　　　　　それでは………
おおいなるカよ！
このものに、あたらしいからだを
あたえたまえ！",527,"I am Gaia.
The ""Fish Age"" lasted
about 2 billion
years. As it ended it
gave way to the 
beginning of a new 
world. One filled 
with oxygen. It is
called the ""Land Age"".
The Strolites and
plants have already 
begun living here to
prepare a better 
place for those who
choose to follow.
Here is a present for
survivng the Fish Age.
It is the body of an
Amphibian. You have
lungs so that you may
breathe and you may 
also move about the
ground freely.

A new adventure 
awaits your new body.
So----.
Great Power-.
Please give this 
creature a new body.",580,"Th[is] [is] Ga[ia].

A[ft]er 200 m[il][li]on years,
[it] [is] [the] end of [the] Age
of F[is]h.

Now, we beg[in] [the]
oxygen-r[ic]h Age of
Land.



The “p[la]nts” who h[el]ped
[the] Stromato[li]tes have
gone ahead of you.
They are work[in]g hard
now, so [tha]t [la]ter l[if]e
can f[lo]ur[is]h.
Now, [the]n!
I have a wonderf[ul] g[if]t
for you, now [tha]t you
have surv[iv]ed [the] Age of
F[is]h…
An amp[hi]b[ia]n body!
It can brea[the] oxygen
w[it]h [it]s [lu]ngs and move
free[ly] on [la]nd.
P[le]ase use [it] [in] your new
adventure!
       So…
Alm[ig]hty Power!
Grant [thi]s creature a
new body!



",0,"It['s] Ga[ia]!





The F[is]h Age,w[hi]ch [la]sted
for 200 m[il][li]on years, [is]
end[in]g. The oxygen-r[ic]h
Land Age [is] about to
beg[in].

I [thi]nk you [al]ready met
some fr[ie]nds of [the]
Stromat[ol][it]es, r[ig]ht?
They['r]e c[al][le]d “p[la]nts[!”]


They['ll] soon popu[la]te [the]
[la]nd, and [the]n [the]y['ll]
work very hard to get
every[thi]ng ready for
[the] a[ni]m[al]s who f[ol][lo]w.

Anyway![#10]

S[in]ce you did so we[ll]
surv[iv][in]g [the] F[is]h Age,
I have a n[ic]e g[if]t for
you.
It['s] an “amp[hi]b[ia]n” body!
It has “[lu]ngs” [tha]t can
brea[the] oxygen, so you
can trav[el] on [la]nd
free[ly].

W[it]h [tha]t body, you can
start a wh[ol]e new
adventure!



So, here we go!

Almighty Power[!!] [#10]

Bestow upon [thi]s
creature a new body!",
"シーラカンス
「うーー……。
　ぼ、ぼくらは　シーラカンス…。
　あらそうことも、進化することも
　め、めんどくさいんだなあ…。
　だ、だから
　ぼくらに、かまわないで
　ほ、ほしいんだなあ…。
　じっさい…。」",157,"Coelafish:
""Um....
We are Coelafish.
It is very difficult
for us to evolve or
fight against other
creatures.
So, we stay as we
are.""",142,"Coe[la]canth:
“Um…
 W-We['r]e Coe[la]canths…
 F[ig]ht[in]g… Ev[ol]v[in]g…
 S-So much troub[le].

 S-So…

 W-We['d] [li]ke [it] [if] you
 [le]ave us a[lo]ne…

 R-Rea[ll]y…”
",0,,
"よそものは　でていけっ！！
ここからは、”しょくぶつ”をみまもる
ちょうろうさまの　とちだっ！",81,"Get out stranger!
This land is owned
by the elder who 
takes care of plants.

",85,"Get out, [str]anger[!!]


These are [the] [la]nds of
our e[ld]er, [the] guard[ia]n
of p[la]nts!
",0,"You don['t] b[el]ong here!
Get out!

These p[la]nts are under
[the] protec[ti]on of
our great [el]der!","“Leave, stranger! Beyond here is the land of the elder-sama who watches over plants.”"
"Ich[thy]ostega e[ld]er:
“Impress[iv]e[!”]

Ich[thy]ostega c[hi][ld]:
“You['r]e so [str]ong[!”]

Ich[thy]ostega e[ld]er:
“We knew someone w[it]h
 your [str]ength wou[ld]
 come. There['s] a favor
 we need. W[ill] you hear
 me out[?”]
  Yes

  No way!



Ich[thy]ostega c[hi][ld]:
“But we need you!
 L[is]ten to Grampa['s]
 story[!”]


“Oh, good! You see,
 [thi]s con[ti]nent was wet
 once, [tha]nks to [the]
 p[la]nts.


 But some [str]ange[ly]-
 ev[ol]ved [in]sects started
 devour[in]g every[thi]ng,
 and before you cou[ld]
 b[li]nk, [it] was a
 waste[la]nd.
 Even when we p[le]d for
 coex[is]tence, [the]y not
 on[ly] refused, but
 a[tt]acked our envoys as
 we[ll]!

 Th[is] c[hi][ld]['s] fa[the]r was
 one of [the]m. He hasn['t]
 come back…”

Ich[thy]ostega c[hi][ld]:
“… Dad…”
Ich[thy]ostega e[ld]er:
“Is [the]re any way you
 can h[el]p[?”]



",735,"
Elder of Ikustega:
""You are great!""

Child of Ikustega:
""You are strong!""
Elder of Ikustega:
""Considering your
great strength, I have
something to ask you.
Could you do me a
favor?""

Yes
No
Child of Ikustega:
""Please, please 
listen to Granpa's 
story!""


""Thank you. Actually,
this land used to be 
covered with plants.
Suddenly, insects 
started to evolve
extremely abnormally.
These insects ate all
of the plant life 
leaving this place
like a desert.
They are trying to
eat any remaining 
plants around the
area.
They refused our 
proposal to 
coexist. Now they
are attacking our
people.
The father of this
child went to try and
persuade them, but he
has never returned.""


Child of Ikustega:
""---- Dad ----.""
Elder of Ikustega:
""Could you please
help us?""",813,"Ich[thy]ostega e[ld]er:
“Impress[iv]e[!”]

Ich[thy]ostega ch[il]d:
“You['r]e so [str]ong[!”]

Ich[thy]ostega e[ld]er:
“We knew someone w[it]h
 your [str]ength wou[ld]
 come. There['s] a favor
 we need. W[ill] you hear
 me out?”
  Yes

  No way!



Ich[thy]ostega ch[il]d:
“But we need you!
 L[is]ten to Grampa['s]
 story[!”]


“Oh, good! You see,
 [thi]s con[ti]nent was wet
 once, [tha]nks to [the]
 p[la]nts.


 But some [str]ange[ly]-
 ev[ol]ved [in]sects started
 devour[in]g every[thi]ng,
 and before you cou[ld]
 b[li]nk, [it] was a[ll] a
 waste[la]nd.
 Even when we p[le]d for
 coex[is]tence, [the]y not
 on[ly] refused, but
 a[tt]acked our envoys as
 we[ll]!

 Th[is] ch[il]d['s] fa[the]r was
 one of [the]m. He hasn['t]
 come back…”

Ich[thy]ostega ch[il]d:
“… Dad…”
Ich[thy]ostega e[ld]er:
“Is [the]re any way you
 can h[el]p?”



",0,"E[ld]er:
“Most impress[iv]e[!”]

C[hi][ld]:
“You['r]e [str]ong[!”]

Elder:
“We['v]e been awa[it][in]g
 someone w[it]h [str]ength
 [li]ke yours. There [is]
 a favor I['d] [li]ke to ask
 of you.
 Won['t] you p[le]ase [li]sten[?”]

  Of course!

  I'm too busy ev[ol]v[in]g…

C[hi][ld]:
“Grampa asked n[ic]e!
 P[le]ase [li]sten[?”]



E[ld]er:
“Oh! Wonderf[ul]!




 The [thi]ng [is], [thi]s
 con[ti]nent has [al]ways
 been kept mo[is]t by [the]
 abundant p[la]nt cover.


 So when some odd[ly]-
 ev[ol]ved [in]sects began
 devour[in]g [tho]se p[la]nts,
 [it] was reduced to a
 barren waste[la]nd [in] [the]
 f[li]ck of a g[ill].
 And now [the]y['r]e even
 beg[in]n[in]g to [lo]ok
 hungr[il]y at [the] p[la]nts
 [tha]t rema[in] [in] [thi]s
 refuge…

 They have refused to
 hear our p[le]as for
 coex[is]tence. To [the]
 contrary, [the]re have
 even been a[tt]acks on
 our peop[le]!
 T[hi]s c[hi][ld]['s] fa[the]r was
 one of [tho]se who went
 to nego[ti]ate. But he…”

C[hi][ld]:
“… Dad…”
E[ld]er:
“We wo[ul]d be gratef[ul] [if]
 you co[ul]d do some[thi]ng[.”]



",
"イクチオステガのこども
「”しょくぶつ”を　すくって！！」
",50,"
Child of Ikustega:
""Save the plants!""",42,"Ich[thy]ostega ch[il]d:
“P[le]ase h[el]p [the] p[la]nts[!”]




",0,,
"イクチオステガのちょうろう
「さいきん、虫たちが　おとなしくなって
　きたような…。」
イクチオステガのこども
「とうちゃん、はやく　かえってこないか
　なあー………。」",119,"Elder of Ikustega:
""Recently the insects
have become quiet.""
Child of Ikustega:
""I wish dad would
return soon.""",118,"Ich[thy]ostega e[ld]er:
“The [in]sects seem to
 have become more
 doc[il]e [la]te[ly][.”]


Ich[thy]ostega ch[il]d:
“Won['t] dad come home
 soon…?”



",0,,
