"　　　　　”進化のアドバイス”
この時代は、いろいろなタイプに進化できる
ようになります。
２足化すると、ジャンプカがあがります。
４足せいぶつで、どう体を　進化させると
さいきょうの　ぼうぎょカを　もてるように
なりますが、そのぶん
スピードや、ジャンプカが　おとろえていく
ことがあります。　ちゅういしてネ！",254,"EVO tip""
You can evolve in 
various ways in this
Era.
If you choose two legs,
you will be able to
jump higher.
If you choose to
have four legs, you 
will have stronger
defense. If you
choose four legs,
your ability to jump
will be limited so be
careful when choosing.",284,"   “Ev[ol]u[ti]on ad[vi]ce”

In [thi]s era, va[ri]ous
types of ev[ol]u[ti]on are
now ava[il]ab[le] to you.

Chang[in]g to 2 [le]gs
[in]creases your jump[in]g
power.



4-[le]gged creatures [tha]t
ev[ol]ve [the]ir bod[ie]s can
dev[el]op [the] [str]ongest
defense.


But [the]ir speed and
jump[in]g power may
weaken accord[in]g[ly].
So take care!


",,
"ゲーロ、ゲロ！
おれたちゃ　ヌルヌル　両せい類！

なぜかヌルヌルきらわれる！
ハァー
ゲーロ、ゲロッ！",71,"Ribit...ribit, ribit!
We are the slimy
amphibians. 
What's wrong with 
slime?
Huh.

Ribit, ribit.
",108,">r[ib]b[it]< >r[ib]b[it]<

We['r]e s[li]my amp[hi]b[ia]ns!



Everyone hates s[li]me
for some reason!

>s[ig]h<

>r[ib]b[it]< >r[ib]b[it]<
",,
"げんしガエルA
「ヌルヌルして、きもちわるいだって？」

げんしガエルB
「まったく、なまいきなスティラコのガキだ
　ぜっ！　ホーレ！ペーロペロッ！」
スティラコサウルスのこども
「あーん！　やめてよー！
　キモチワルイよー！」
げんしガエルA
「ハッ！　ハ虫類だっ！
　にげろ！　にゲローーッ！！」
スティラコサウルスのこども
「わーん！　こわいよーっ！！」
",298,"Prime frog A:
""You do not like
slime?""
Prime frog B:
""What an insolent
Syrocosaurus child!""
Syrocosaurus child:
""Stop it! I don't
like it!""
Prime frog A:
""Ahh! Reptiles are
coming. Run!""
Syrocosaurus child:
""Help me!""
",234,"Proto-frog A:
“Oh, you [thi]nk s[li]me [is]
 gross?”
Proto-frog B:
“What a stuck-up
 Styraco-brat!
 Hey, you!
 >s[lu]rp< >s[lu]rp<”

Styracosaurus ch[il]d:
“No! Stopp[it]!
 Yucky[!”]
Proto-frog A:
“>gasp< A rep[ti][le]!
 Go! Go! >grooooak<”

Styracosaurus ch[il]d:
“>sob< Scaary[!”]
",,
"われわれは、そのむかしから
みどりを　みまもっている　しゅぞく
なのです。
さいきん、ハ虫類のみなさんが、
しょくぶつを　たべすぎているので、
とても、きがかり……なのです。",156,"We are the ones who
watch over the plants.
Recently reptiles 
have eaten so many
plants, we have become
worried.",119,"Our k[in]d has watched
over [the] green [la]nds
s[in]ce [lo]ng ago.



A[ll] [the]se rep[ti][le]s are
ea[ti]ng so many p[la]nts
[la]t[el]y…
It['s] very concern[in]g.


",,"“We are the tribe that watches over greenery, since olden times.”

“These days, because all the reptiles are overeating the plants, we're very worried.”"
"どこからともなく、
ヒソヒソごえが、きこえてくる…。

ヒソヒソごえA
「ゆうきのやま　には、どれだけのハ虫類が
　ちょうせんしますかね？」
ヒソヒソごえB
「いずれにしても、しんのゆうきのある
　ハ虫類こそが、つぎの時代をきずいていく
　しかくをもっているのだ！
　ためすには、いいほうほうだと、わたしは
　しんじておる………。」
ヒソヒソごえA
「しかし、どうも　いやなよかんが
　します………。」",325,"You hear whispering
coming from somewhere.

Whisper A:
""How many reptiles
have challenged
Mt. Brave?""


Whisper B:
""Only a reptile with
true bravery may be
eligible to build a
new age.""
""I believe Mt. Brave
is a good target to
overcome. This will 
help us choose the 
Chosen One.""


Whisper B:
""I feel an ominous
hunch...""",347,"Out of nowhere, you
hear vo[ic]es wh[is]per[in]g.




Wh[is]per A:
“Do you [thi]nk many
 rep[ti][le]s w[ill] cha[ll]enge [the]
 Mount[ai]n of Courage?”


Wh[is]per B:
“One way or ano[the]r, [it]
 w[ill] be rep[ti][le]s w[it]h
 courageous hearts who
 are su[it]ab[le] to bu[il]d [the]
 coming age.
 I be[li]eve [thi]s [is] a good
 me[tho]d of tes[ti]ng [the]m[.”]

Wh[is]per A:
“St[ill], I fe[el] qu[it]e
 uneasy about [it]…”
","Out of nowhere, you
hear someone wh[is]per[in]g.




A:
“Capta[in]! We['r]e re[al][ly]
 just go[in]g to wa[it] for
 rep[ti][le]s to jump o[ff]
 [the]ir ‘Mounta[in] of
 Courage’ now[?”]
B:
“…we cannot act rash[ly]
 aga[in]… we must o[ff]er
 our g[if]ts on[ly] to
 rep[ti][le]s strong [in]
 s[pi]r[it].
 …for on[ly] [the]y may bu[il]d
 [the] future of [thi]s
 wor[ld].

 T[hi]s [le]gend [is] [the] best
 p[la]n we have…”
A:
“It just seems [li]ke
 we['r]e m[is]s[in]g some[thi]ng…”



","A: “Regarding the Mountain of Courage, how much are the reptiles challenging it?”

B: “Regardless, only reptiles having courage of the heart are qualified to build the next age. I believe this is a good way of testing.”

A: “But still, I feel an unpleasant premonition...”"
"あー、イライラする！！


おい！おれはいま　こどもがゆくえふめいに
なって　きがあれているんだ！

やつあたりされたくなかったら
さっさと　おれのよこをとおって
きえな！",122,"My child is missing
so I am very angry!
Please go away or I
will become angry with
you as well!
",103,"Arrgh, so s[ic]k of t[hi]s[!!]





My [ki]d['s] gone m[is]s[in]g,
and my nerves are
shot.

Don['t] provoke me.
Just w[al]k on by…
",,"“Arrgh, I'm irritated! Hey! My child is missing right now, so my temper is up. If you don't want me to take it out on you, quickly go on past me and leave.”"
"スティラコサウルスのこども
「あのね、やさしいハ虫類がたすけて
　くれたんだよ！」
「でも、おれいをいうの
　わすれちゃったんだ……。」

スティラコサウルスのちちおや
「そうか…。もし、そのハ虫類に
　またあえたなら、
　この、でんせつを　はなして
　あげなさい……。」

「むかし、いっぴきのきょうりゅうが
　ゆうきのやまに　のぼりました。
　そして、そのちょうじょうで　かれは
　あたらしいせいぶつになれるチャンスを
　あたえられました。しかし、そのためには
　かれの　のうりょくの、ほとんどを
　ぎせいにしなければなりません……。
　かれは　まよいましたが、ゆうきをだして
　チャンスにいどみました。
　かれのゆうきは　しゅくふくをうけ
　いままでのせいぶつにはないのうりょくを
　もった体に　進化したのです。
　そして　かれは名を”プテラノドン”と
　かえ、あたらしいせかいへ　たびだった
　のです。」
　（もういちど、ききたいですか？）
　　はい
　　いいえ

　　　　　TｅXT　３６",707,"Syrocosaurus child:
""The Reptile helped me
when I was in trouble.""
""I forgot to thank
him for his help.""

Syrocosaurus father:
""Well if you meet the
reptile, tell him
about the legend.""


One day a dinosaur
climbed to the top of
Mt. Brave. At the top
he was given the 
chance to become a 
new creature.
If he took the chance
he would give up most
of his capabilties.
He decided, after much
hesitation, to make 
the change.
He was admired by all
for the courage he had
shown by changing into
a new body. This body
had capabilites which
no other creature had.
He changed his name
to ""Ptenodon"" and 
left for a new world.
(Would you like to
hear it again?)


Yes
No
Deltadium:
""Time will come for 
us!""

Choo..

""Oh, enemies are
coming!""
",784,"Styracosaurus ch[il]d:
“And [the]n, a n[ic]e rep[ti][le]
 h[el]ped me[!”]



“Oh… I never s[ai]d
 [tha]nks[!”]
Styracosaurus fa[the]r:
“Oh yeah? We[ll], [if] you
 ever see [it] aga[in], te[ll]
 [it] [thi]s story, okay?”
“Once upon a [ti]me, a
 d[in]osaur c[li]mbed [the]
 Mount[ai]n of Courage.



 And at [it]s peak, he
 was rewarded w[it]h [the]
 chance to become a
 new type of creature.


 However, [it] wou[ld]
 requ[ir]e [hi]m to sac[ri]f[ic]e
 most of h[is] ab[ili]t[ie]s…



 Al[tho]ugh he he[si]tated,
 he stee[le]d [hi]ms[el]f and
 accepted [thi]s
 cha[ll]enge.


 He was b[le]ssed for h[is]
 courage, and ev[ol]ved
 [in]to a body w[it]h ab[ili]t[ie]s
 [li]ke no creature ever
 before.

 He changed h[is] name to
‘Pteranodon[,’] and set
 forth [in]to a new wor[ld][.”]



 (Wou[ld] you [li]ke to hear
  [it] aga[in]?)
  Yes

  No

 ","C[hi][ld]:
“That rep[ti][le] who h[el]ped
 me was re[al][ly] n[ic]e! But
 I forgot to say
 [tha]nks…”

Fa[the]r:
“Oh yeah? We[ll], re[al][ly]
 n[ic]e rep[ti][le]s sho[ul]d know
 a re[al][ly] n[ic]e rep[ti][le]
 story…

 So pass [thi]s
 one on [the] next [ti]me
 you see one, okay[?”]



~Once upon a [ti]me,
 [the]re was a [str]ong
 and brave d[in]osaur
 named Ptera[.~]


C[hi][ld]:
“Like mama[?”]

Fa[the]r:
“Hush! Don['t] [in]terrupt…”

~One day, to prove [tha]t
 she was [the] [str]ongest
 and bravest, Ptera
 de[ci]ded to c[li]mb up [the]
 Mounta[in] of Courage[.~]

~And when, after a
 [lo]ng, gru[el][in]g c[li]mb,
 she reached [the] summ[it],
 she was o[ff]ered [the]
 chance to be reborn[.~]

~But… she wo[ul]d have to
 g[iv]e up most of her
 [str]ength, and return
 to be[in]g sma[ll], weak,
 and scared[.~]

C[hi][ld]:
“…Like me[?”]

Fa[the]r:
“Shh[!”]

~Ptera hes[it]ated, but [in]
 [ti]me she accepted.
 And so she became
 known as [the] bravest
 d[in]osaur [in] [the] [la]nd[.~]

~Because to embrace
 weakness[--][in] a wor[ld]
 where [the] [str]ong eat
 [the] weak[--][is] true
 courage[.~]

~She [le]ft beh[in]d her o[ld]
 body, and took on a
 form un[li]ke any [li]v[in]g
 creature[.~]


~Up and away she f[le]w,
 toward [the] New Dawn,
 and she has never
 s[in]ce been seen [in] [thi]s
 wor[ld][.~]

(Wo[ul]d you [li]ke to
  hear [it] aga[in]?)
  Yes

  No

","“You know, a kind reptile helped me. But I completely forgot to say thanks.”

“Well, if you meet that reptile again, please tell it this legend.”

“Once upon a time, a dinosaur climbed the Mountain of Courage. Then, at its peak, he was offered a chance to become a new creature. But in order to do so, he would have to sacrifice most of his abilities. He hesitated, but steeled himself and accepted the challenge. His courage was blessed with favor, and he evolved a body possessing abilities never before seen. And he changed his name to 'Pteranodon,' and departed for a new world.”"
"
　　　　　TｅXT　３６",16,"Deltadium:
""Time will come for 
us!""

Choo..

""Oh, enemies are
coming!""
",82,,,
"デルタデリジウム
「いつか、オレたちの時代が、きっと
　やってくるでチュ！」
「チューーーーッ！！！！
　テ、テキが　きたでチューッ！！！」
",114,"Deltadium:
""Time will come for 
us!""

Choo..

""Oh, enemies are
coming!""
",82,"D[el]ta[the]r[id]ium:
“It['ll] be our [ti]me one
 day, >squeak<[!”]

“>squeeeak<
 E-enem[ie]s[!!]”
",,"“One day, our time will surely come!”

“Squeeeeeeak! Enemies are coming!”"
"ヒソヒソごえ　A
「そこの、ハ虫類くん！
　ここは、そらのせかいの　いりぐちだよ。
　さあ、おもいきって
　そらに　とびこんでみなよ！
　でも……、
　なにが　おこっても
　うらみっこなしだぜ！」
",158,"Whisper A:
""Hey there reptile!""
Here is the entrance
to the sky world.
Try to jump into it
without hesitating.
But if something goes
wrong in there 
remember it was your 
choice!

",193,"Wh[is]per A:
“Hey [the]re, rep[ti][le]!
 Th[is] [is] [the] way [in]to [the]
 sky wor[ld]! Come, take
 a bo[ld] [le]ap!
 Al[tho]ugh…
 Whatever happens, no
 hard fe[el][in]gs[!”]




","Excuse me, rep[ti][le]?
T[hi]s [is] [the] way to [the]
sky wor[ld]!



So, um, co[ul]d you just
try jump[in]g o[ff]?
Brave[ly]?



","“You there, reptile-kun! The entrance to the sky world is here. So, try boldly leaping into the sky! But whatever happens, don't hold any grudges!”"
