Parent,Name,Download,System,Name (original),Translated Title,Status,Adult,Offensive,Obsolete Version,Back Catalog,Retrieved By,Retrieved Date,Source,Notes,Size,CRC32,MD5,SHA-1,Id,Authors,Short Authors,Url,Other Urls,Version,Release Date,Options,Labels,Id (2),Authors (2),Short Authors (2),Url (2),Other Urls (2),Version (2),Release Date (2),Options (2),Labels (2),Id (3),Authors (3),Short Authors (3),Url (3),Other Urls (3),Version (3),Release Date (3),Options (3),Labels (3),Id (4),Authors (4),Short Authors (4),Url (4),Other Urls (4),Version (4),Release Date (4),Options (4),Labels (4),Id (5),Authors (5),Short Authors (5),Url (5),Other Urls (5),Version (5),Release Date (5),Options (5),Labels (5)
3x3 Eyes - Juuma Houkan (Japan).sfc,"3x3 Eyes - Juuma Houkan (Japan) [T-En by Atomizer_Zero, FamilyGuy, AkiHizirino, mkwong98 (v1.01)].sfc","https://github.com/videogame-archive/romhack-archive/raw/main/Nintendo - Super Nintendo Entertainment System/3x3 Eyes - Juuma Houkan (Japan).sfc/3x3 Eyes - Juuma Houkan (Japan) [T-En by Atomizer_Zero, FamilyGuy, AkiHizirino, mkwong98 (v1.01)].sfc/romhack.bps",Nintendo - Super Nintendo Entertainment System,,,Fully Playable,,,,,JuMaFuSe,2023-03-21,Trusted,,2097152,b455b7a4,ace1abe5f48d24e1512cbc6541f171be,638272dcdda92bd233e89dbd2d4a4cfad1b9459c,,"Atomizer_Zero, FamilyGuy, AkiHizirino, mkwong98",,https://www.romhacking.net/translations/2835/,,1.01,2017-02-02,,T-En,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46 Okunen Monogatari - Harukanaru Eden e (Japan).sfc,"4.6 Billion Year Saga, The - To Faraway Eden (Japan) [T-En by NLeseul (v0.9b)].sfc","https://github.com/videogame-archive/romhack-archive/raw/main/Nintendo - Super Nintendo Entertainment System/46 Okunen Monogatari - Harukanaru Eden e (Japan).sfc/4.6 Billion Year Saga, The - To Faraway Eden (Japan) [T-En by NLeseul (v0.9b)].sfc/romhack.bps",Nintendo - Super Nintendo Entertainment System,,true,Fully Playable,,,,,JuMaFuSe,2023-03-21,Trusted,,1572864,5173188d,d7224000a181209cf6145759e19243dc,a56a550c460285d06fbbcf2d8e41690bd9b9ba13,,NLeseul,,https://www.romhacking.net/translations/5486/,,0.9b,2020-04-08,,T-En,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accele Brid (Japan).sfc,"Accele Brid (Japan) [T-En by Aeon Genesis, Gideon Zhi, Ian Kelley, Tomato, Oogami (v1.00)].sfc","https://github.com/videogame-archive/romhack-archive/raw/main/Nintendo - Super Nintendo Entertainment System/Accele Brid (Japan).sfc/Accele Brid (Japan) [T-En by Aeon Genesis, Gideon Zhi, Ian Kelley, Tomato, Oogami (v1.00)].sfc/romhack.bps",Nintendo - Super Nintendo Entertainment System,,,Fully Playable,,,,,JuMaFuSe,2023-03-21,Trusted,,2097152,43a1e6c6,a3a3ededc23f537220bf17bf5ae90f4c,8e301af46cfda7dbb8ecc2faeeeb20c7fd8a95cd,,"Aeon Genesis, Gideon Zhi, Ian Kelley, Tomato, Oogami",,https://www.romhacking.net/translations/718/,,1.00,2002-05-28,,T-En,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actraiser (Japan).sfc,"Actraiser (Japan) [T-En by Aeon Genesis, Gideon Zhi, Ian Kelley (v1.00)].sfc","https://github.com/videogame-archive/romhack-archive/raw/main/Nintendo - Super Nintendo Entertainment System/Actraiser (Japan).sfc/Actraiser (Japan) [T-En by Aeon Genesis, Gideon Zhi, Ian Kelley (v1.00)].sfc/romhack.bps",Nintendo - Super Nintendo Entertainment System,,,Fully Playable,,,,,JuMaFuSe,2023-03-21,Trusted,,1048576,b41b0c91,22ec5c8988b37322db9bc7cd104a3e48,d186be8bf682b347728191acc27f2498a67c57d1,,"Aeon Genesis, Gideon Zhi, Ian Kelley",,https://www.romhacking.net/translations/1063/,,1.00,2006-10-21,,T-En,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hourai Gakuen no Bouken! - Tenkousei Scramble (Japan).sfc,"Adventures of Hourai High, The - Transfer Student Drama Bomb (Japan) [T-En by Aeon Genesis, Gideon Zhi, satsu (v1.00)] [Fix by advancedpillow, Reld (v1.0)].sfc","https://github.com/videogame-archive/romhack-archive/raw/main/Nintendo - Super Nintendo Entertainment System/Hourai Gakuen no Bouken! - Tenkousei Scramble (Japan).sfc/Adventures of Hourai High, The - Transfer Student Drama Bomb (Japan) [T-En by Aeon Genesis, Gideon Zhi, satsu (v1.00)] [Fix by advancedpillow, Reld (v1.0)].sfc/romhack.bps",Nintendo - Super Nintendo Entertainment System,,true,Fully Playable,,,,,JuMaFuSe,2023-04-29,Trusted,,3145728,a30cadf7,4032a2281cece6f28b3fdf621c0581f2,3d4681c981cdf15d270e91687a3b9aa62ba56f46,,"Aeon Genesis, Gideon Zhi, satsu",,https://www.romhacking.net/translations/1607/,,1.00,2011-04-19,,T-En,,"advancedpillow, Reld",,https://www.romhacking.net/translations/6651/,,1.0,2022-09-07,,Fix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hourai Gakuen no Bouken! - Tenkousei Scramble (Japan).sfc,"Adventures of Hourai High, The - Transfer Student Drama Bomb (Japan) [T-En by Aeon Genesis, Gideon Zhi, satsu (v1.00)].sfc","https://github.com/videogame-archive/romhack-archive/raw/main/Nintendo - Super Nintendo Entertainment System/Hourai Gakuen no Bouken! - Tenkousei Scramble (Japan).sfc/Adventures of Hourai High, The - Transfer Student Drama Bomb (Japan) [T-En by Aeon Genesis, Gideon Zhi, satsu (v1.00)].sfc/romhack.bps",Nintendo - Super Nintendo Entertainment System,,true,Fully Playable,,,,,JuMaFuSe,2023-04-29,Trusted,,3145728,fbb9de0c,c15ce67b3cc15fbc7c5c4fcb9533af7d,de4c9d9d872b2b8b99bddaa25e6fbee633a84182,,"Aeon Genesis, Gideon Zhi, satsu",,https://www.romhacking.net/translations/1607/,,1.00,2011-04-19,,T-En,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ace o Nerae! (Japan).sfc,"Aim for the Ace! - Ace Tennis (Japan) [T-En by RPGONE, Jonny, Loek van Kooten, BugCatcher (v1.3)].sfc","https://github.com/videogame-archive/romhack-archive/raw/main/Nintendo - Super Nintendo Entertainment System/Ace o Nerae! (Japan).sfc/Aim for the Ace! - Ace Tennis (Japan) [T-En by RPGONE, Jonny, Loek van Kooten, BugCatcher (v1.3)].sfc/romhack.bps",Nintendo - Super Nintendo Entertainment System,,true,Fully Playable,,,,,JuMaFuSe,2023-03-21,Trusted,,1048576,7e51ffc8,3400bda2b0e6298a109cba8ca9ca4d5a,a58064f0464dcc3e34a3d172f72f2c4426aed95e,,"RPGONE, Jonny, Loek van Kooten, BugCatcher",,https://www.romhacking.net/translations/688/,,1.3,2017-12-31,,T-En,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Odyssey (Japan).sfc,Albert Odyssey (Japan) [T-En by Peter Lemon (v2015.03.21)] [i].sfc,https://github.com/videogame-archive/romhack-archive/raw/main/Nintendo - Super Nintendo Entertainment System/Albert Odyssey (Japan).sfc/Albert Odyssey (Japan) [T-En by Peter Lemon (v2015.03.21)] [i].sfc/romhack.bps,Nintendo - Super Nintendo Entertainment System,,,Incomplete,,,,,JuMaFuSe,2023-04-29,Trusted,,1048576,4da25b13,d2f396446e74fc40b4494a62c5c8bcc0,60ed9f6f8414442d7f63397b9ae5c5bc0e275e3b,,Peter Lemon,,https://github.com/PeterLemon/SNES/tree/master/Translate,,2015.03.21,,,T-En,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcahest (Japan).sfc,"Alcahest (Japan) [T-En by F.H., Akujin, David Mullen MakoKnight, Dark Force (v1.0 beta)] [Fix by KingMike's Translations, KingMike (v1.0)].sfc","https://github.com/videogame-archive/romhack-archive/raw/main/Nintendo - Super Nintendo Entertainment System/Alcahest (Japan).sfc/Alcahest (Japan) [T-En by F.H., Akujin, David Mullen MakoKnight, Dark Force (v1.0 beta)] [Fix by KingMike's Translations, KingMike (v1.0)].sfc/romhack.bps",Nintendo - Super Nintendo Entertainment System,,,Fully Playable,,,,,JuMaFuSe,2023-04-29,Trusted,,1310720,3ef7b279,ad676ff654d56c83e55761bfbeed4297,ca1eb1598e1594691f0cb766cfd4bc14096607b4,,"F.H., Akujin, David Mullen (MakoKnight), Dark Force",,https://www.romhacking.net/translations/278/,,1.0 beta,2002-08-11,,T-En,,"KingMike's Translations, KingMike",,https://www.romhacking.net/translations/2286/,,1.0,2014-10-08,,Fix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcahest (Japan).sfc,"Alcahest (Japan) [T-En by F.H., Akujin, David Mullen MakoKnight, Dark Force (v1.0 beta)].sfc","https://github.com/videogame-archive/romhack-archive/raw/main/Nintendo - Super Nintendo Entertainment System/Alcahest (Japan).sfc/Alcahest (Japan) [T-En by F.H., Akujin, David Mullen MakoKnight, Dark Force (v1.0 beta)].sfc/romhack.bps",Nintendo - Super Nintendo Entertainment System,,,Fully Playable,,,,,JuMaFuSe,2023-03-21,Trusted,,1179648,1f51d29e,01f59d87ced210b3d8abc8d415a990aa,c401313971e01a8d83bafdb11b395f386bac7882,,"F.H., Akujin, David Mullen (MakoKnight), Dark Force",,https://www.romhacking.net/translations/278/,,1.0 beta,2002-08-11,,T-En,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Amazing Spider-Man, The - Lethal Foes (Japan).sfc","Amazing Spider-Man, The - Lethal Foes (Japan) [T-En by gorgyrip, filler (v1.0) (Opt Caps)].sfc","https://github.com/videogame-archive/romhack-archive/raw/main/Nintendo - Super Nintendo Entertainment System/Amazing Spider-Man, The - Lethal Foes (Japan).sfc/Amazing Spider-Man, The - Lethal Foes (Japan) [T-En by gorgyrip, filler (v1.0) (Opt Caps)].sfc/romhack.bps",Nintendo - Super Nintendo Entertainment System,,,Fully Playable,,,,,JuMaFuSe,2023-03-21,Trusted,,2097152,b05add0f,2d865b64e0bd659a705d3eba5e7e76ea,124d22b80eeb598c256be4047267988a73486223,,"gorgyrip, filler",,https://www.romhacking.net/translations/2624/,,1.0,2016-04-04,Caps,T-En,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
